file,class,method,variable,usage
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry,"SquashEntry/11[java.lang.String,java.lang.String,java.lang.String,java.lang.Throwable,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",appVersion,1
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry,"SquashEntry/11[java.lang.String,java.lang.String,java.lang.String,java.lang.Throwable,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",endpoint,2
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry,"SquashEntry/11[java.lang.String,java.lang.String,java.lang.String,java.lang.Throwable,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",environment,2
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry,"SquashEntry/11[java.lang.String,java.lang.String,java.lang.String,java.lang.Throwable,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",apiKey,1
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry,"SquashEntry/11[java.lang.String,java.lang.String,java.lang.String,java.lang.Throwable,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",logMessage,2
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry,"SquashEntry/11[java.lang.String,java.lang.String,java.lang.String,java.lang.Throwable,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",buildSha,1
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry,"SquashEntry/11[java.lang.String,java.lang.String,java.lang.String,java.lang.Throwable,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",client,2
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry,"SquashEntry/11[java.lang.String,java.lang.String,java.lang.String,java.lang.Throwable,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",error,6
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry,"SquashEntry/11[java.lang.String,java.lang.String,java.lang.String,java.lang.Throwable,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",deviceId,0
/Users/palesnow/Downloads/squash/src/main/java/com/squareup/squash/SquashEntry.java,com.squareup.squash.SquashEntry,"SquashEntry/11[java.lang.String,java.lang.String,java.lang.String,java.lang.Throwable,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",userId,1
